order_id,order_date,ship_date,customer_id,region,state,category,sub_category,product_name,sales,quantity,discount,profit
CA-2019-100006,2019-09-08,2019-09-13,CG-12520,West,California,Furniture,Chairs,Office Chair,261.96,2,0.0,41.91
CA-2019-100090,2019-07-19,2019-07-24,EB-13870,East,New York,Technology,Phones,iPhone,731.94,3,0.0,219.58
CA-2019-100293,2019-03-14,2019-03-19,KM-16375,Central,Texas,Office Supplies,Binders,Heavy Duty Binder,14.62,2,0.2,-6.87
CA-2019-100328,2019-01-28,2019-02-03,SM-20320,South,Florida,Technology,Accessories,Wireless Mouse,957.58,5,0.2,167.58
CA-2019-100363,2019-04-01,2019-04-06,AG-10270,West,Washington,Office Supplies,Paper,Printer Paper,22.37,3,0.0,10.74
CA-2019-100706,2019-09-20,2019-09-25,LC-16885,Central,Illinois,Furniture,Tables,Conference Table,1044.63,3,0.3,-383.03
CA-2019-100818,2019-11-30,2019-12-05,TB-21520,East,Pennsylvania,Office Supplies,Storage,File Box,55.48,4,0.0,16.64
CA-2019-100871,2019-12-09,2019-12-14,AR-10825,South,Georgia,Technology,Phones,Android Phone,635.98,2,0.1,127.20
CA-2020-101175,2020-02-14,2020-02-19,JF-15415,West,California,Furniture,Furnishings,Desk Lamp,48.86,7,0.0,14.66
CA-2020-101308,2020-06-21,2020-06-26,DK-13090,Central,Ohio,Office Supplies,Art,Sketch Pens,35.44,4,0.2,-5.32
